lon,lat,ds_sd
138.57,34.753,0.11401
138.55,34.827,1.9332
138.6,34.887,0.18221
138.58,34.961,2.6438
138.59,35.096,0.00059459
138.61,35.021,0.10751
138.52,34.694,1.9142
138.54,34.619,0.096446
137.7,33.466,0.38915
132.79,31.47,5.1872
137.77,33.464,-0.0020341
137.81,33.514,-0.00091169
132.41,30.453,-0.0042141
132.68,31.641,14.603
132.69,31.573,10.989
137.65,33.544,2.4094
138.35,33.925,0.0056145
134.5,32.846,34.056
132.9,31.379,2.2522
132.87,31.45,3.8243
132.95,31.245,0.26949
133.17,31.352,0.12314
132.56,31.394,-0.87246
132.78,31.205,-0.86481
132.77,31.546,7.9989
132.83,31.587,9.3977
132.45,31.088,-14.716
132.42,31.156,-15.179
133.77,32.118,0.42487
132.99,31.376,1.8015
133.02,31.312,0.79204
133.09,31.305,0.14896
133.03,31.163,0.00015352
132.96,31.171,0.088974
132.62,31.521,7.2335
132.73,31.421,2.8558
132.64,31.445,3.6786
132.24,30.644,-13.996
132.37,31.029,-18.788
136.46,32.858,0.0035785
136.75,32.967,0.0017108
132.27,30.584,-8.6963
132.34,30.573,-4.9786
132.39,30.619,-5.7946
137.67,33.407,0.0068045
132.35,30.495,-2.0756
132.27,30.461,-0.01288
132.22,30.512,-4.7772
132.84,31.327,1.027
132.86,31.256,0.28195
132.75,31.348,0.87278
133.74,31.973,-0.35898
134.42,32.655,22.873
134.83,32.539,2.2419
136.54,32.911,0.19407
136.61,32.901,-0.002695
137.02,33.077,0.0015007
132.69,31.301,-1.8491
132.69,31.229,-2.6858
132.77,30.984,-0.013768
132.71,30.872,-0.0084842
132.63,30.825,-0.44465
132.82,31.668,12.44
132.76,31.695,17.13
133.2,31.257,-0.0056131
133.21,31.306,0.0075174
133.16,31.228,-0.0030661
133.1,31.229,0.012791
136.89,33.024,0.00077012
136.82,33.033,0.23414
132.95,31.601,7.6434
134.76,32.321,-0.0011311
133.7,31.898,-0.27303
134.6,32.96,36.604
134.58,32.883,32.425
133.84,31.989,-0.38634
133.96,31.915,-0.0039369
134.36,32.613,19.626
136.68,32.968,0.21549
137.08,33.659,13.381
136.97,33.219,1.4933
133,31.451,2.7478
132.56,30.7,-1.179
132.65,30.74,-0.017899
132.6,31.184,-6.0403
132.58,31.323,-3.347
132.61,31.117,-5.8653
132.54,31.074,-8.6902
134.05,32.279,2.3204
134.41,32.738,27.935
134.49,32.769,29.053
132.4,30.959,-17.512
135.83,33.018,17.246
137.72,33.617,3.8005
137.82,33.589,0.25252
134.2,32.242,1.7558
134.14,32.296,3.41
136.83,33.172,2.0433
136.95,33.087,0.1454
136.91,33.159,0.9138
133.16,31.435,0.61672
133.03,31.572,4.8596
133.06,31.483,2.7767
132.67,31.079,-3.0717
138.48,34.564,3.2925
133.88,31.92,-0.16671
136.79,33.245,4.2626
136.69,33.249,7.5336
138.05,33.721,0.0088521
134.29,32.292,2.7113
134.27,32.377,5.9799
134.16,32.379,6.1798
134.79,32.604,4.4015
134.56,32.714,21.886
134.71,32.623,7.6467
134.52,32.64,18.372
135.87,32.72,0.00069619
137.14,33.528,8.2198
137.92,33.63,0.009345
132.5,31.274,-8.689
132.51,31.208,-9.8138
136.41,33.25,17.845
137.22,33.57,9.8793
133.43,31.623,-0.0011663
137.52,33.663,10.942
137.13,33.138,-0.0039966
137.06,33.135,0.083758
136.95,33.284,2.9497
136.85,33.297,4.9713
134.02,32.205,1.0045
134.03,31.984,-0.054809
134.1,31.981,-0.0029817
132.53,30.859,-6.3361
132.58,30.998,-6.9315
132.51,30.942,-8.7653
132.71,30.954,-0.51138
132.65,31.001,-3.0188
134.9,32.403,-0.014697
134.82,32.396,0.26123
132.32,30.899,-20.605
137.56,33.565,5.2944
137.03,33.204,0.48138
136.39,33.102,10.226
135.97,32.742,0.0013859
138.22,34.219,14.661
138.44,34.169,0.0093263
136.65,33.032,1.0582
136.64,33.175,5.8669
137.53,33.341,-0.00060745
137.57,33.408,0.50538
137.51,33.489,3.2445
137.47,33.858,23.719
134.22,32.057,-0.0011716
134.19,32.172,0.68587
133.56,31.971,0.7106
133.6,31.89,0.078567
133.48,31.989,2.7609
135.16,32.948,6.8426
138.06,33.87,3.8826
138.27,33.896,0.47782
138.22,33.937,2.1781
135.68,32.974,14.237
134.65,32.835,23.713
134.71,32.704,11.076
134.64,32.744,18.976
134.74,32.879,20.796
136.3,32.837,0.0066483
136.38,32.888,0.98206
136.4,32.965,3.606
135.18,32.629,0.0063219
135.07,32.689,1.7587
134.62,32.257,0.00082305
134.68,32.321,0.24739
134.64,32.392,1.4768
137.11,33.242,0.38335
137.25,33.212,0.0021927
137.16,33.203,-0.0053752
138.48,34.352,0.04137
138.47,34.291,0.0011904
133.93,32.199,0.84525
134.13,32.121,0.1864
134.06,32.13,0.21367
134.15,32.048,0.012216
134.01,32.059,-0.13225
133.69,31.761,-0.00038779
134.69,32.998,31.526
132.94,31.741,13.77
132.9,31.678,11.427
134.79,32.47,1.3867
134.69,32.467,3.0597
136.36,33.179,15.122
136.27,33.19,18.585
134.84,32.651,4.6383
132.92,31.495,4.8297
132.9,31.556,6.8189
136.79,33.109,1.2666
136.69,33.108,2.5295
136.69,33.393,13.387
136.65,33.315,11.622
136.55,33.315,15.745
133.29,31.504,0.0039585
133.2,31.494,0.51181
137.43,33.688,14.04
137.37,33.632,11.358
135.04,32.795,4.6652
135.16,32.757,2.0658
135.09,32.736,2.4822
132.38,30.688,-8.2948
138.37,34.117,0.46739
138.21,34.037,7.0965
