latitude,longitude,depth,ew,ns,ew_error,ns_error,ew_normal,ns_normal,ud_normal
42.0013,138.9992,-205.593,0.000484,0.001329,5.056087,6.602198,-0.5588,0.021628,0.829018
42.00133,139.3663,-185.068,0.000484,0.001329,3.565951,4.99505,-0.59019,0.017123,0.807086
42.00134,139.6994,-163.428,0.000484,0.001329,2.55195,3.36201,-0.54523,-0.00444,0.838277
42.00136,140.0665,-146.611,0.000484,0.001329,2.421986,2.869414,-0.50114,0.03094,0.864813
42.00136,140.4326,-128.184,0.000484,0.001329,2.183471,2.481711,-0.52867,0.04641,0.84756
42.00137,140.7997,-108.667,0.001329,-0.00048,2.010721,2.135252,-0.50665,0.04459,0.860999
42.00137,141.1328,-94.0122,0.001329,-0.00048,1.912426,1.933989,-0.43279,0.069139,0.898841
42.00137,141.4999,-80.6968,-0.00133,0.000484,1.96564,1.929054,-0.3346,0.11448,0.935382
42.00137,141.867,-72.2145,-0.00133,0.000484,2.16697,2.064049,-0.23894,0.181048,0.954008
42.00137,142.2001,-66.1518,0.000484,0.001329,2.324729,2.276406,-0.22904,0.2257,0.946889
42.00137,142.5671,-58.2204,0.000484,0.001329,2.494202,2.830293,-0.32519,0.227659,0.917837
42.00137,142.9332,-44.7343,0.000484,0.001329,3.005921,3.786007,-0.33226,0.16463,0.928708
42.00137,143.3003,-36.6094,0.000484,0.001329,4.152218,5.124035,-0.16008,0.151577,0.975397
42.00136,143.6334,-36.1496,0.000484,0.001329,6.787803,7.769927,-0.00762,0.198797,0.980011
42.00136,144.0005,-36.4532,0.000484,0.001329,8.780906,9.739011,0.003951,0.267252,0.963619
41.7011,138.9993,-205.509,0.000484,0.001329,4.004559,5.135915,-0.55871,0.028029,0.828887
41.70113,139.3664,-184.619,-1.19706,0.721784,2.71373,3.677809,-0.5714,0.009855,0.820614
41.70115,139.6995,-164.612,-0.5199,0.509933,2.017413,2.403854,-0.5504,-0.01273,0.834807
41.70116,140.0666,-145.663,0.11765,0.176907,1.94174,2.144953,-0.52666,0.007343,0.850045
41.70117,140.4326,-126.629,0.02254,0.108012,1.729441,1.895041,-0.52975,0.014368,0.84803
41.70117,140.7997,-107.382,0.040454,0.070024,1.579087,1.674988,-0.51452,0.009758,0.857421
41.70117,141.1328,-91.6712,0.314902,-0.05718,1.50465,1.567046,-0.46938,0.032167,0.882412
41.70117,141.4999,-76.8118,0.16511,-0.02807,1.486523,1.569139,-0.39882,0.083354,0.913234
41.70117,141.867,-65.794,-0.04068,0.112158,1.663046,1.674164,-0.31395,0.158414,0.936131
41.70117,142.2,-58.0758,-0.17022,0.252294,1.904914,1.814974,-0.27035,0.211253,0.9393
41.70117,142.5671,-49.4012,-0.25994,0.325324,2.027886,2.205998,-0.29075,0.217999,0.931634
41.70117,142.9332,-38.9791,-0.16402,0.253664,2.279812,2.902166,-0.27288,0.165374,0.947729
41.70117,143.3003,-31.6665,-0.01088,0.122014,3.196043,4.046945,-0.17405,0.147057,0.973694
41.70116,143.6334,-29.0461,0.053709,0.023119,5.613521,6.498993,-0.0819,0.182276,0.979831
41.70116,144.0005,-27.214,0.000484,0.001329,7.500972,8.374423,-0.06607,0.238292,0.968943
41.43424,138.9994,-204.987,0.000484,0.001329,3.356374,3.749423,-0.54519,0.04493,0.837111
41.43427,139.3664,-184.879,-1.6263,1.080272,2.372156,2.617711,-0.5534,0.011282,0.832837
41.43428,139.6995,-166.055,-0.55292,0.775776,1.813578,1.84179,-0.5461,-0.01143,0.837645
41.4343,140.0666,-146.528,0.457669,0.263694,1.686514,1.763313,-0.53183,-0.01403,0.846734
