latitude,longitude,depth,ew,ns,ew_error,ns_error,ew_normal,ns_normal,ud_normal
42.0013,138.9992,-205.593,-0.00133,0.000484,0.140645,0.151854,-0.5588,0.021628,0.829018
42.00133,139.3663,-185.068,-0.00133,0.000484,0.115126,0.126572,-0.59019,0.017123,0.807086
42.00134,139.6994,-163.428,0.000484,0.001329,0.084391,0.094627,-0.54523,-0.00444,0.838277
42.00136,140.0665,-146.611,0.000986,0.000252,0.072528,0.079377,-0.50114,0.03094,0.864813
42.00136,140.4326,-128.184,0.001329,-0.00048,0.067298,0.068807,-0.52867,0.04641,0.84756
42.00137,140.7997,-108.667,0.001329,-0.00048,0.065887,0.061434,-0.50665,0.04459,0.860999
42.00137,141.1328,-94.0122,0.001329,-0.00048,0.065774,0.057087,-0.43279,0.069139,0.898841
42.00137,141.4999,-80.6968,-0.00048,-0.00133,0.064218,0.055286,-0.3346,0.11448,0.935382
42.00137,141.867,-72.2145,-0.00048,-0.00133,0.059468,0.056325,-0.23894,0.181048,0.954008
42.00137,142.2001,-66.1518,-0.00133,0.000484,0.056143,0.064559,-0.22904,0.2257,0.946889
42.00137,142.5671,-58.2204,-0.00133,0.000484,0.059185,0.080703,-0.32519,0.227659,0.917837
42.00137,142.9332,-44.7343,-0.00133,0.000484,0.071276,0.102553,-0.33226,0.16463,0.928708
42.00137,143.3003,-36.6094,-0.00133,0.000484,0.09173,0.128721,-0.16008,0.151577,0.975397
42.00136,143.6334,-36.1496,-0.00125,0.00052,0.13001,0.170583,-0.00762,0.198797,0.980011
42.00136,144.0005,-36.4532,0.001329,-0.00048,0.157599,0.199466,0.003951,0.267252,0.963619
41.7011,138.9993,-205.509,-0.00133,0.000484,0.120543,0.129224,-0.55871,0.028029,0.828887
41.70113,139.3664,-184.619,-0.00018,0.003993,0.095878,0.104839,-0.5714,0.009855,0.820614
41.70115,139.6995,-164.612,0.01317,0.003306,0.06689,0.075037,-0.5504,-0.01273,0.834807
41.70116,140.0666,-145.663,0.028497,-0.0006,0.055997,0.061452,-0.52666,0.007343,0.850045
41.70117,140.4326,-126.629,0.044304,-0.00977,0.051223,0.052458,-0.52975,0.014368,0.84803
41.70117,140.7997,-107.382,0.047368,-0.02274,0.049917,0.046373,-0.51452,0.009758,0.857421
41.70117,141.1328,-91.6712,0.028681,-0.0353,0.050111,0.042793,-0.46938,0.032167,0.882412
41.70117,141.4999,-76.8118,-0.00631,-0.04099,0.049401,0.041031,-0.39882,0.083354,0.913234
41.70117,141.867,-65.794,-0.0386,-0.03504,0.045689,0.041512,-0.31395,0.158414,0.936131
41.70117,142.2,-58.0758,-0.05687,-0.0235,0.042416,0.049194,-0.27035,0.211253,0.9393
41.70117,142.5671,-49.4012,-0.06182,-0.01159,0.044361,0.064685,-0.29075,0.217999,0.931634
41.70117,142.9332,-38.9791,-0.05476,-0.00317,0.055158,0.08569,-0.27288,0.165374,0.947729
41.70117,143.3003,-31.6665,-0.03993,0.000496,0.07495,0.111279,-0.17405,0.147057,0.973694
41.70116,143.6334,-29.0461,-0.01728,0.001601,0.112007,0.151936,-0.0819,0.182276,0.979831
41.70116,144.0005,-27.214,-0.00133,0.000484,0.138814,0.180087,-0.06607,0.238292,0.968943
41.43424,138.9994,-204.987,-0.00133,0.000484,0.097518,0.101534,-0.54519,0.04493,0.837111
41.43427,139.3664,-184.879,0.00341,0.004133,0.074967,0.079163,-0.5534,0.011282,0.832837
41.43428,139.6995,-166.055,0.028481,0.001134,0.048872,0.052706,-0.5461,-0.01143,0.837645
41.4343,140.0666,-146.528,0.056502,-0.00671,0.039747,0.04225,-0.53183,-0.01403,0.846734
41.4343,140.4327,-127.467,0.084062,-0.02345,0.035552,0.036265,-0.52623,-0.02065,0.85009
41.43431,140.7997,-108.565,0.088191,-0.04741,0.033711,0.032442,-0.51798,-0.02824,0.854925
41.43431,141.1328,-92.0346,0.056025,-0.07179,0.033675,0.030503,-0.49696,-0.0089,0.867726
41.43431,141.4999,-75.1714,-0.00607,-0.08552,0.034389,0.029648,-0.44995,0.049462,0.891685
41.43431,141.867,-61.2566,-0.0669,-0.0772,0.03364,0.029511,-0.3721,0.128719,0.919226
41.43431,142.2,-51.561,-0.10446,-0.05486,0.031925,0.035099,-0.29962,0.180234,0.936879
41.43431,142.5671,-42.5332,-0.11639,-0.02919,0.032297,0.048108,-0.27268,0.1853,0.944092
41.43431,142.9332,-33.9454,-0.10408,-0.00945,0.040066,0.067001,-0.23853,0.152139,0.959143
41.43431,143.3003,-27.4316,-0.07576,-0.00056,0.057717,0.091104,-0.17505,0.134496,0.975331
41.4343,143.6333,-23.7816,-0.03332,0.00283,0.091875,0.129343,-0.11583,0.150831,0.98175
41.43429,144.0004,-20.7072,-0.00133,0.000484,0.116667,0.155761,-0.10086,0.1827,0.977981
41.13407,138.9994,-203.631,-0.00133,0.000484,0.088585,0.089529,-0.52243,0.063861,0.850287
41.1341,139.3665,-184.708,0.006261,0.002203,0.067817,0.068948,-0.53119,0.038314,0.846386
41.13412,139.6996,-166.899,0.037596,-0.00375,0.044343,0.045606,-0.53385,0.022209,0.845287
41.13413,140.0666,-147.498,0.070944,-0.01419,0.03676,0.037915,-0.52524,0.007485,0.85092
41.13413,140.4327,-128.782,0.102663,-0.03473,0.032761,0.033703,-0.51801,-0.0054,0.855358
41.13414,140.7998,-110.231,0.107795,-0.06419,0.030198,0.030627,-0.51951,-0.01276,0.85437
41.13414,141.1328,-92.9935,0.072206,-0.0959,0.029544,0.029135,-0.52522,-0.00304,0.850959
41.13414,141.4999,-73.6515,0.000317,-0.11682,0.030797,0.028951,-0.50254,0.033424,0.863911
41.13414,141.867,-56.6562,-0.07351,-0.1086,0.031936,0.028855,-0.42646,0.083263,0.900665
41.13414,142.2,-45.4064,-0.11972,-0.07849,0.031646,0.032552,-0.32246,0.112711,0.939849
41.13414,142.5671,-36.3623,-0.13379,-0.0422,0.031698,0.042963,-0.25938,0.116283,0.958749
41.13414,142.9332,-28.9403,-0.11804,-0.01435,0.037327,0.059741,-0.2137,0.101765,0.971585
41.13414,143.3003,-23.1013,-0.085,-0.00175,0.052454,0.082148,-0.1711,0.093285,0.980828
41.13413,143.6333,-18.9506,-0.03695,0.003331,0.083889,0.118335,-0.135,0.100249,0.985762
